id,name,price,vehicle_make,vehicle_model,year_range,brand_id,category_id,subcategory_id,engine_size,oem_part_number,description,product_url,image_url,created_at,updated_at
1,Mazda Demio Control Arms,89035.37,Mazda,Demio,2005-2010,5,2,6,2.4L,MAZ-98696,"High-quality Mazda Demio Control Arms for Mazda Demio, suitable for 2020-2024 models.",https://example.com/products/mazda-demio-control-arms,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.862639,2025-11-08T14:11:24.862649
2,Mazda Demio Gaskets,73237.2,Mazda,Demio,2010-2015,2,1,1,3.0L,MAZ-83563,"High-quality Mazda Demio Gaskets for Mazda Demio, suitable for 2020-2024 models.",https://example.com/products/mazda-demio-gaskets,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.863126,2025-11-08T14:11:24.863131
3,Hyundai Corolla Clutch Kit,84531.38,Hyundai,Corolla,2015-2020,10,4,19,1.5L,HYU-54597,"High-quality Hyundai Corolla Clutch Kit for Hyundai Corolla, suitable for 2010-2015 models.",https://example.com/products/hyundai-corolla-clutch-kit,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:24.863523,2025-11-08T14:11:24.863527
4,Subaru Hilux Fuel Filter,102080.59,Subaru,Hilux,2015-2020,2,6,26,4.0L Diesel,SUB-89131,"High-quality Subaru Hilux Fuel Filter for Subaru Hilux, suitable for 2005-2010 models.",https://example.com/products/subaru-hilux-fuel-filter,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:24.863881,2025-11-08T14:11:24.863885
5,Subaru Hilux Grilles,36948.45,Subaru,Hilux,2015-2020,2,8,38,2.4L,SUB-92397,"High-quality Subaru Hilux Grilles for Subaru Hilux, suitable for 2010-2015 models.",https://example.com/products/subaru-hilux-grilles,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:24.864234,2025-11-08T14:11:24.864240
6,Hyundai Hilux Control Arms,104311.83,Hyundai,Hilux,2015-2020,4,2,6,2.0L,HYU-59823,"High-quality Hyundai Hilux Control Arms for Hyundai Hilux, suitable for 2015-2020 models.",https://example.com/products/hyundai-hilux-control-arms,"https://source.unsplash.com/featured/?car,hyundai,part",2025-11-08T14:11:24.864623,2025-11-08T14:11:24.864627
7,Mazda Tucson Brake Pads,74072.89,Mazda,Tucson,2010-2015,6,3,13,1.5L,MAZ-32431,"High-quality Mazda Tucson Brake Pads for Mazda Tucson, suitable for 2020-2024 models.",https://example.com/products/mazda-tucson-brake-pads,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.864926,2025-11-08T14:11:24.864930
8,Mazda Sorento Engine Oil,29413.15,Mazda,Sorento,2015-2020,9,7,32,2.0L,MAZ-14207,"High-quality Mazda Sorento Engine Oil for Mazda Sorento, suitable for 2015-2020 models.",https://example.com/products/mazda-sorento-engine-oil,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.865294,2025-11-08T14:11:24.865299
9,Kia Demio Bushings,48986.75,Kia,Demio,2020-2024,10,2,7,1.5L,KIA-94259,"High-quality Kia Demio Bushings for Kia Demio, suitable for 2015-2020 models.",https://example.com/products/kia-demio-bushings,"https://source.unsplash.com/featured/?car,kia,part",2025-11-08T14:11:24.865655,2025-11-08T14:11:24.865659
10,Mercedes-Benz Tucson ABS Sensors,52840.97,Mercedes-Benz,Tucson,2020-2024,9,3,12,1.8L,MER-86484,"High-quality Mercedes-Benz Tucson ABS Sensors for Mercedes-Benz Tucson, suitable for 2010-2015 models.",https://example.com/products/mercedes-benz-tucson-abs-sensors,"https://source.unsplash.com/featured/?car,mercedes-benz,part",2025-11-08T14:11:24.865935,2025-11-08T14:11:24.865939
11,Nissan Corolla Brake Pads,20458.86,Nissan,Corolla,2020-2024,8,3,15,2.4L,NIS-30969,"High-quality Nissan Corolla Brake Pads for Nissan Corolla, suitable for 2005-2010 models.",https://example.com/products/nissan-corolla-brake-pads,"https://source.unsplash.com/featured/?car,nissan,part",2025-11-08T14:11:24.866219,2025-11-08T14:11:24.866223
12,Land Rover C-Class Transmission Fluid,116601.71,Land Rover,C-Class,2005-2010,10,7,33,3.0L,LAN-11504,"High-quality Land Rover C-Class Transmission Fluid for Land Rover C-Class, suitable for 2015-2020 models.",https://example.com/products/land-rover-c-class-transmission-fluid,"https://source.unsplash.com/featured/?car,land-rover,part",2025-11-08T14:11:24.866511,2025-11-08T14:11:24.866514
13,Subaru Pajero Cabin Filter,2881.32,Subaru,Pajero,2010-2015,5,6,26,2.4L,SUB-44522,"High-quality Subaru Pajero Cabin Filter for Subaru Pajero, suitable for 2005-2010 models.",https://example.com/products/subaru-pajero-cabin-filter,"https://source.unsplash.com/featured/?car,subaru,part",2025-11-08T14:11:24.866841,2025-11-08T14:11:24.866845
14,Mazda Pajero Ignition Coils,92095.02,Mazda,Pajero,2005-2010,10,5,25,2.4L,MAZ-80697,"High-quality Mazda Pajero Ignition Coils for Mazda Pajero, suitable for 2015-2020 models.",https://example.com/products/mazda-pajero-ignition-coils,"https://source.unsplash.com/featured/?car,mazda,part",2025-11-08T14:11:24.867154,2025-11-08T14:11:24.867159
15,Kia Tucson Headlights,9306.21,Kia,Tucson,2005-2010,2,8,34,1.3L,KIA-84364,"High-quality Kia Tucson Headlights for Kia Tucson, suitable for 2020-2024 models.",https://example.com/products/kia-tucson-headlights,"https://source.unsplash.com/featured/?car,kia,part",2025-11-08T14:11:24.867432,2025-11-08T14:11:24.867438
16,Mitsubishi Discovery Ball Joints,21902.42,Mitsubishi,Discovery,2020-2024,3,2,10,1.5L,MIT-79163,"High-quality Mitsubishi Discovery Ball Joints for Mitsubishi Discovery, suitable for 2010-2015 models.",https://example.com/products/mitsubishi-discovery-ball-joints,"https://source.unsplash.com/featured/?car,mitsubishi,part",2025-11-08T14:11:24.867726,2025-11-08T14:11:24.867730
17,Land Rover C-Class Sensors,16717.99,Land Rover,C-Class,2005-2010,6,5,24,1.8L,LAN-39451,"High-quality Land Rover C-Class Sensors for Land Rover C-Class, suitable for 2005-2010 models.",https://example.com/products/land-rover-c-class-sensors,"https://source.unsplash.com/featured/?car,land-rover,part",2025-11-08T14:11:24.867997,2025-11-08T14:11:24.868000
18,BMW Demio All-Season,10841.69,BMW,Demio,2005-2010,4,10,47,1.5L,BMW-92719,"High-quality BMW Demio All-Season for BMW Demio, suitable for 2005-2010 models.",https://example.com/products/bmw-demio-all-season,"https://source.unsplash.com/featured/?car,bmw,part",2025-11-08T14:11:24.868272,2025-11-08T14:11:24.868277
